Date,Open,High,Low,Close,Adj Close,Volume
2022-10-04,3182.000000,3263.449951,3102.500000,3216.149902,3216.149902,475008
2022-10-06,3262.000000,3321.800049,3244.350098,3308.000000,3308.000000,461996
2022-10-07,3304.600098,3304.600098,3137.550049,3187.600098,3187.600098,440350
2022-10-10,3164.199951,3189.000000,3120.000000,3161.000000,3161.000000,275699
2022-10-11,3200.000000,3219.949951,3150.000000,3173.600098,3173.600098,296173
2022-10-12,3180.000000,3224.000000,3167.850098,3202.850098,3202.850098,329608
2022-10-13,3190.000000,3238.000000,3151.250000,3177.350098,3177.350098,222741
2022-10-14,3225.000000,3240.000000,3006.000000,3047.149902,3047.149902,320461
2022-10-17,3047.000000,3135.000000,2976.000000,3099.300049,3099.300049,193751
2022-10-18,3114.800049,3199.000000,3110.050049,3152.850098,3152.850098,295584
2022-10-19,3168.649902,3238.350098,3121.100098,3166.850098,3166.850098,467958
2022-10-20,3150.000000,3325.149902,3141.149902,3277.100098,3277.100098,422771
2022-10-21,3293.500000,3293.500000,3186.500000,3261.750000,3261.750000,174257
2022-10-24,3280.000000,3291.149902,3240.050049,3267.300049,3267.300049,29267
2022-10-25,3283.649902,3433.949951,3251.000000,3382.949951,3382.949951,216330
2022-10-27,3403.199951,3549.000000,3395.000000,3507.750000,3507.750000,684860
2022-10-28,3525.300049,3525.300049,3421.600098,3444.050049,3444.050049,312597
2022-10-31,3460.000000,3658.699951,3423.000000,3602.850098,3602.850098,284614
2022-11-01,3620.899902,3720.500000,3537.050049,3681.199951,3681.199951,369944
2022-11-02,3679.899902,3693.050049,3602.100098,3637.300049,3637.300049,280173
2022-11-03,3620.000000,3688.350098,3557.000000,3660.899902,3660.899902,256243
2022-11-04,3659.000000,3800.000000,3501.000000,3759.250000,3759.250000,349779
2022-11-07,3759.000000,3845.000000,3690.699951,3800.399902,3800.399902,529323
2022-11-09,3800.399902,3891.250000,3720.100098,3795.199951,3795.199951,422176
2022-11-10,3790.000000,3820.000000,3663.399902,3707.100098,3707.100098,252727
2022-11-11,3725.649902,3810.500000,3722.000000,3800.600098,3800.600098,248079
2022-11-14,3805.000000,3888.000000,3770.050049,3870.300049,3870.300049,218406
2022-11-15,3888.350098,3912.399902,3811.000000,3885.300049,3885.300049,237581
2022-11-16,3865.000000,3880.000000,3752.000000,3809.649902,3809.649902,316610
2022-11-17,3808.949951,3859.199951,3715.000000,3753.449951,3753.449951,246287
2022-11-18,3767.250000,3773.800049,3608.000000,3644.649902,3644.649902,219386
2022-11-21,3615.000000,3688.000000,3560.000000,3661.000000,3661.000000,136427
2022-11-22,3661.000000,3685.000000,3581.000000,3671.399902,3671.399902,164102
2022-11-23,3685.550049,3794.750000,3671.449951,3752.449951,3752.449951,205491
2022-11-24,3730.000000,3780.000000,3686.149902,3731.000000,3731.000000,125461
2022-11-25,3741.949951,3745.000000,3631.000000,3664.750000,3664.750000,224375
2022-11-28,3626.000000,3768.199951,3545.199951,3605.149902,3605.149902,349032
2022-11-29,3589.199951,3658.000000,3552.250000,3600.000000,3600.000000,184715
2022-11-30,3599.949951,3668.000000,3566.149902,3632.750000,3632.750000,620284
2022-12-01,3650.949951,3698.000000,3585.000000,3612.399902,3612.399902,151309
2022-12-02,3634.000000,3645.000000,3525.300049,3579.649902,3579.649902,224342
2022-12-05,3597.550049,3620.000000,3382.199951,3590.100098,3590.100098,276317
2022-12-06,3592.199951,3724.699951,3565.550049,3696.850098,3696.850098,268871
2022-12-07,3716.399902,3786.000000,3691.000000,3730.350098,3730.350098,259618
2022-12-08,3760.399902,3779.000000,3655.500000,3694.899902,3694.899902,150349
2022-12-09,3680.000000,3720.000000,3606.000000,3621.300049,3621.300049,242005
2022-12-12,3634.949951,3687.250000,3601.649902,3641.000000,3641.000000,203019
2022-12-13,3659.800049,3668.199951,3551.000000,3586.300049,3586.300049,346102
2022-12-14,3589.899902,3652.000000,3461.800049,3517.850098,3517.850098,346571
2022-12-15,3520.000000,3595.500000,3504.050049,3550.750000,3550.750000,268903
2022-12-16,3546.949951,3619.000000,3520.000000,3584.800049,3584.800049,320375
2022-12-19,3584.949951,3650.000000,3571.100098,3618.449951,3618.449951,184705
2022-12-20,3634.449951,3634.449951,3563.199951,3614.199951,3614.199951,195335
2022-12-21,3619.949951,3673.649902,3475.000000,3544.699951,3544.699951,328200
2022-12-22,3545.000000,3584.000000,3410.300049,3551.550049,3551.550049,239705
2022-12-23,3503.500000,3551.000000,3176.000000,3232.600098,3232.600098,417221
2022-12-26,3239.949951,3359.699951,3100.100098,3311.699951,3311.699951,230869
2022-12-27,3328.000000,3374.699951,3286.949951,3352.899902,3352.899902,131985
2022-12-28,3335.000000,3629.949951,3328.000000,3605.800049,3605.800049,768728
2022-12-29,3560.000000,3999.000000,3508.000000,3793.000000,3793.000000,768731
2022-12-30,3861.949951,3887.800049,3646.000000,3692.850098,3692.850098,686265
2023-01-02,3700.000000,3730.000000,3530.000000,3550.600098,3550.600098,332645
2023-01-03,3568.000000,3650.000000,3502.000000,3598.649902,3598.649902,307015
2023-01-04,3584.949951,3599.949951,3450.000000,3477.300049,3477.300049,365884
2023-01-05,3509.899902,3669.949951,3472.050049,3633.699951,3633.699951,468166
2023-01-06,3626.000000,3629.949951,3521.000000,3555.399902,3555.399902,283873
2023-01-09,3591.000000,3666.000000,3576.600098,3629.000000,3629.000000,471678
2023-01-10,3630.000000,3699.000000,3490.000000,3656.399902,3656.399902,445188
2023-01-11,3656.399902,3668.000000,3572.550049,3616.500000,3616.500000,302285
2023-01-12,3599.000000,3675.000000,3552.000000,3649.050049,3649.050049,453399
2023-01-13,3649.949951,3742.000000,3615.600098,3715.100098,3715.100098,566844
2023-01-16,3693.699951,3739.899902,3652.000000,3730.699951,3730.699951,180696
2023-01-17,3727.699951,3899.000000,3695.050049,3850.000000,3850.000000,732003
2023-01-18,3862.149902,3884.000000,3776.000000,3805.449951,3805.449951,487214
2023-01-19,3785.000000,3879.000000,3735.000000,3835.550049,3835.550049,461226
2023-01-20,3835.550049,3935.000000,3802.000000,3918.899902,3918.899902,447521
2023-01-23,3939.000000,4000.000000,3865.149902,3901.100098,3901.100098,564577
2023-01-24,3936.000000,3940.000000,3851.000000,3891.750000,3891.750000,350178
2023-01-25,3870.000000,3884.850098,3600.000000,3660.000000,3660.000000,515358
2023-01-27,3477.000000,3477.000000,2928.000000,2928.000000,2928.000000,1237800
2023-01-30,2501.000000,2538.000000,2342.399902,2342.399902,2342.399902,1888555
2023-01-31,2145.000000,2155.000000,2108.199951,2108.199951,2108.199951,531326
2023-02-01,1951.000000,1998.800049,1897.400024,1897.400024,1897.400024,1570400
2023-02-02,1707.699951,1707.699951,1707.699951,1707.699951,1707.699951,64276
2023-02-03,1622.349976,1622.349976,1622.349976,1622.349976,1622.349976,62458
2023-02-06,1541.250000,1541.250000,1541.250000,1541.250000,1541.250000,77660
2023-02-07,1464.199951,1519.000000,1464.199951,1464.199951,1464.199951,3561024
2023-02-08,1391.000000,1391.000000,1391.000000,1391.000000,1391.000000,420769
